Chlamydia_abortus_strain_162STDY5437294	Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_abortus_strain_1B_cevac	Chlamydia_psittaci_strain_GIMC_2003Cps25SM
Chlamydia_abortus_strain_GIMC_2006CabB577	Chlamydia_trachomatis_strain_E-32931
Chlamydia_abortus_strain_NL2354-2D	Chlamydia_muridarum_str._Nigg_isolate_CM008
Chlamydia_avium_10DC88	Chlamydia_serpentis_strain_H15-1957-10C
Chlamydia_caviae_GPIC	Chlamydia_muridarum_str._Nigg
Chlamydia_crocodili_strain_No._12	Chlamydia_suis_isolate_4-29b
Chlamydia_gallinacea_08-12743	Chlamydia_psittaci_01DC11
Chlamydia_muridarum_str._Nigg	Chlamydophila_parapsittaci_strain_Rostinovo-70
Chlamydia_muridarum_str._Nigg_isolate_CM008	Chlamydia_trachomatis_L2bUCH-2
Chlamydia_muridarum_str._Nigg_isolate_CM021	Chlamydia_trachomatis_L2b820007
Chlamydia_poikilotherma_strain_S15-834K	Chlamydia_trachomatis_strain_E-32931
Chlamydia_psittaci_MN	Chlamydia_psittaci_strain_Ful127
Chlamydia_psittaci_strain_AMK	Chlamydia_trachomatis_strain_E-32931
Chlamydia_psittaci_strain_GIMC_2004CpsAP23	Chlamydia_trachomatis_strain_tet9
Chlamydia_suis_isolate_4-29b	Chlamydia_trachomatis_strain_tet9
Chlamydia_trachomatis_strain_E-32931	Chlamydophila_parapsittaci_strain_Rostinovo-70
